Title,Year,TMDb ID,TMDb Rating,Overview,IMDb ID,IMDb Rating,Runtime (min),Genre
Godzilla Minus One,2023,940721,7.6,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",tt23289160,7.7,124.0,"Action, Adventure, Drama"
Nosferatu,2024,426063,6.714,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",tt5040012,7.3,132.0,"Fantasy, Horror, Mystery"
The Substance,2024,933260,7.146,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",tt17526714,7.3,141.0,"Drama, Horror, Sci-Fi"
A Quiet Place Part II,2021,520763,7.473,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",tt8332922,7.2,97.0,"Drama, Horror, Sci-Fi"
The Menu,2022,593643,7.17,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",tt9764362,7.2,107.0,"Comedy, Horror, Thriller"
The Invisible Man,2020,570670,7.11,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",tt1051906,7.1,124.0,"Drama, Horror, Mystery"
Werewolf by Night,2022,894205,6.979,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster.",tt15318872,7.1,52.0,"Action, Adventure, Drama"
Alien: Romulus,2024,945961,7.203,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",tt18412256,7.1,119.0,"Horror, Sci-Fi, Thriller"
Red Rooms,2023,912480,7.085,"The high-profile case of serial killer Ludovic Chevalier has just gone to trial, and Kelly-Anne is obsessed. When reality blurs with her morbid fantasies, she goes down a dark path to seek the final piece of the case’s puzzle.",tt22207786,7.1,118.0,"Crime, Horror, Mystery"
Talk to Me,2023,1008042,7.161,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",tt10638522,7.1,95.0,"Horror, Thriller"
Strange Darling,2024,1029281,7.0,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,tt22375054,7.1,97.0,"Horror, Thriller"
Humanist Vampire Seeking Consenting Suicidal Person,2023,988402,7.4,"Sasha is a young vampire with a serious problem: she's too sensitive to kill. When her exasperated parents cut off her blood supply, Sasha's life is in jeopardy. Luckily, she meets Paul, a lonely teenager with suicidal tendencies who is willing to give his life to save hers. But their friendly agreement soon becomes a nocturnal quest to fulfill Paul's last wishes before day breaks.",tt24216998,7.0,90.0,"Comedy, Drama, Fantasy"
Barbarian,2022,913290,6.831,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",tt15791034,7.0,102.0,"Horror, Mystery, Thriller"
The Innocents,2021,660942,6.921,"Four children become friends during the summer holidays, and out of sight of the adults they discover they have hidden powers. While exploring their newfound abilities in the nearby forests and playgrounds, their innocent play takes a dark turn and strange things begin to happen.",tt4028464,7.0,117.0,"Drama, Fantasy, Horror"
Heretic,2024,1138194,7.048,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",tt28015403,7.0,111.0,"Horror, Thriller"
Pearl,2022,949423,7.2,"Trapped on her family’s isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she’s seen in the movies, Pearl’s ambitions, temptations, and repressions collide.",tt18925334,7.0,103.0,"Drama, Horror, Thriller"
Last Night in Soho,2021,576845,7.3,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",tt9639470,7.0,116.0,"Drama, Horror, Mystery"
Stree 2,2024,1112426,6.595,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.",tt27510174,7.0,147.0,"Comedy, Horror"
Late Night with the Devil,2024,938614,7.13,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",tt14966898,7.0,93.0,Horror
Exhuma,2024,838209,7.565,"After tracing the origin of a disturbing supernatural affliction to a wealthy family's ancestral gravesite, a team of paranormal experts relocates the remains—and soon discovers what happens to those who dare to mess with the wrong grave.",tt27802490,6.9,134.0,"Drama, Horror, Mystery"
The Trip,2021,760747,6.683,"A dysfunctional couple head to a remote lakeside cabin under the guise of reconnecting, but each has secret designs to kill the other. Before they can carry out their respective plans, unexpected visitors arrive and the couple is faced with a greater danger than anything they could have plotted.",tt13109952,6.9,113.0,"Action, Comedy, Horror"
The Black Phone,2022,756999,7.573,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",tt7144666,6.9,103.0,"Horror, Mystery, Thriller"
Unicorn Wars,2022,587092,7.56,"An army of bear cubs train and indoctrinate young recruits for the war against the unicorns, which threatens the safety of the cubs. Brothers Bluey and Tubby, along with a group of inexperienced cadets, are sent on a dangerous mission to save the Magic Forest, where the unicorns live, and start a terrible battle.",tt10483152,6.9,92.0,"Animation, Action, Comedy"
When Evil Lurks,2023,744857,7.266,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",tt16300962,6.9,99.0,Horror
Bones and All,2022,791177,7.1,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",tt10168670,6.8,131.0,"Drama, Horror, Romance"
Caddo Lake,2024,863873,7.275,"When an 8-year-old girl mysteriously vanishes on Caddo Lake, a series of past deaths and disappearances begin to link together, forever altering a broken family’s history.",tt15552142,6.8,103.0,"Drama, Mystery, Sci-Fi"
Nope,2022,762504,6.845,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",tt10954984,6.8,130.0,"Horror, Mystery, Sci-Fi"
Mad God,2021,846867,6.851,"A figure known as ""The Assassin"" descends from the heavens into a nightmarish pit full of monsters, titans, and cruelty.",tt15090124,6.8,83.0,"Animation, Fantasy, Horror"
Speak No Evil,2024,1114513,7.253,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",tt27534307,6.8,110.0,"Drama, Horror, Thriller"
